MatchID,StatName,StatValue
g_1_WbkGIj9T,Away: Sytuacje bramkowe,9
g_1_WbkGIj9T,Home: Strzały na bramkę,5
g_1_WbkGIj9T,Away: Strzały na bramkę,2
g_1_WbkGIj9T,Home: Strzały niecelne,4
g_1_WbkGIj9T,Away: Strzały niecelne,6
g_1_WbkGIj9T,Home: Strzały zablokowane,1
g_1_WbkGIj9T,Away: Strzały zablokowane,1
g_1_WbkGIj9T,Home: Rzuty wolne,17
g_1_WbkGIj9T,Away: Rzuty wolne,14
g_1_WbkGIj9T,Home: Rzuty rożne,3
g_1_WbkGIj9T,Away: Rzuty rożne,3
g_1_WbkGIj9T,Home: Spalone,2
g_1_WbkGIj9T,Away: Spalone,3
g_1_WbkGIj9T,Home: Interwencje bramkarzy,2
g_1_WbkGIj9T,Away: Interwencje bramkarzy,3
g_1_WbkGIj9T,Home: Faule,12
g_1_WbkGIj9T,Away: Faule,15
g_1_WbkGIj9T,Home: Czerwone kartki,1
g_1_WbkGIj9T,Away: Czerwone kartki,0
g_1_WbkGIj9T,Home: Żółte kartki,2
g_1_WbkGIj9T,Away: Żółte kartki,1
g_1_WbkGIj9T,Home: Podania celne,510
g_1_WbkGIj9T,Away: Podania celne,388
g_1_WbkGIj9T,Home: Bloki,22
g_1_WbkGIj9T,Away: Bloki,13
g_1_WbkGIj9T,Home: Ataki,120
g_1_WbkGIj9T,Away: Ataki,115
g_1_SMtNyE9i,MatchDate,23.05.2021 20:45
g_1_SMtNyE9i,HomeTeam,Spezia
g_1_SMtNyE9i,AwayTeam,AS Roma
g_1_SMtNyE9i,Goals,"2
-
2"
g_1_SMtNyE9i,Home: Posiadanie piłki,42%
g_1_SMtNyE9i,Away: Posiadanie piłki,58%
g_1_SMtNyE9i,Home: Sytuacje bramkowe,18
g_1_SMtNyE9i,Away: Sytuacje bramkowe,14
g_1_SMtNyE9i,Home: Strzały na bramkę,9
g_1_SMtNyE9i,Away: Strzały na bramkę,10
g_1_SMtNyE9i,Home: Strzały niecelne,6
g_1_SMtNyE9i,Away: Strzały niecelne,2
g_1_SMtNyE9i,Home: Strzały zablokowane,3
g_1_SMtNyE9i,Away: Strzały zablokowane,2
g_1_SMtNyE9i,Home: Rzuty wolne,16
g_1_SMtNyE9i,Away: Rzuty wolne,18
g_1_SMtNyE9i,Home: Rzuty rożne,5
g_1_SMtNyE9i,Away: Rzuty rożne,2
g_1_SMtNyE9i,Home: Spalone,5
g_1_SMtNyE9i,Away: Spalone,2
g_1_SMtNyE9i,Home: Interwencje bramkarzy,8
g_1_SMtNyE9i,Away: Interwencje bramkarzy,7
g_1_SMtNyE9i,Home: Faule,13
g_1_SMtNyE9i,Away: Faule,14
g_1_SMtNyE9i,Home: Żółte kartki,0
g_1_SMtNyE9i,Away: Żółte kartki,1
g_1_SMtNyE9i,Home: Podania celne,365
g_1_SMtNyE9i,Away: Podania celne,510
g_1_SMtNyE9i,Home: Bloki,14
g_1_SMtNyE9i,Away: Bloki,13
g_1_SMtNyE9i,Home: Ataki,78
g_1_SMtNyE9i,Away: Ataki,141
g_1_2JcaMY94,MatchDate,23.05.2021 20:45
g_1_2JcaMY94,HomeTeam,Torino
